UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans
204820,Ohio University-Chillicothe Campus,2017,0,23,1691,4994,87,64,57,13,14,86,4247,48,3771,3637
204839,Ohio University-Southern Campus,2017,0,21,1387,4740,91,65,57,14,13,93,4269,68,3991,4126
204848,Ohio University-Lancaster Campus,2017,0,27,1615,4994,87,60,56,15,9,85,4494,45,3994,3765
204857,Ohio University-Main Campus,2017,0,64,29369,11896,83,60,80,17,24,94,6291,28,4149,7960
204866,Ohio University-Zanesville Campus,2017,0,28,1204,4994,89,70,59,17,7,89,4108,52,3849,3758
204884,East Ohio College,2017,0,57,162,11421,96,94,70,13,0,100,6397,88,5263,5545
204893,Trinity Health System School of Nursing,2017,0,100,86,9470,92,85,20,6,0,91,4604,64,4604,7000
204909,Ohio Wesleyan University,2017,0,70,1560,44430,68,53,78,9,0,100,31028,33,4332,7983
204936,Otterbein University,2017,0,64,2936,31424,76,62,81,11,0,100,20110,31,4264,7726
204945,Owens Community College,2017,0,18,10038,3672,66,49,53,16,15,85,4003,58,3928,4450
204990,Payne Theological Seminary,2017,0,,187,,,,,,,,,,,
205027,Pontifical College Josephinum,2017,0,50,150,21298,74,0,77,6,0,62,5185,38,3202,10000
205054,Professional Skills Institute,2017,0,61,415,13168,49,88,69,14,0,100,4630,90,4083,10842
205090,Firelands Regional Medical Center School of Nursing,2017,0,,49,7215,82,88,,8,0,,,,,
205124,Rabbinical College Telshe,2017,0,40,56,10700,100,0,57,9,0,86,10434,64,5498,
205142,Raphael's School of Beauty Culture Inc-Niles,2017,0,62,135,,50,64,78,21,0,87,4889,79,4889,6191
205179,Fortis College-Centerville,2017,0,33,690,13442,35,81,44,13,49,92,5940,81,5608,9252
205203,University of Rio Grande,2017,0,39,1812,25545,77,64,48,17,8,94,5937,55,4239,6246
205391,The Modern College of Design,2017,0,64,211,26714,91,71,71,14,0,96,5938,68,2895,8190
205443,Shawnee State University,2017,0,29,3582,6251,85,54,68,15,0,97,5258,54,4257,5959
205470,Sinclair Community College,2017,0,26,18448,3169,63,57,53,17,19,82,4813,50,4909,4027
205841,Stark State College,2017,0,15,11613,2796,71,59,53,21,16,82,3815,58,3962,4312
205887,Stautzenberger College-Maumee,2017,0,42,624,12762,68,88,56,13,18,96,5065,80,4840,7679
205957,Franciscan University of Steubenville,2017,0,78,2929,25970,78,59,87,14,4,99,10971,25,3812,8270
205966,Southern State Community College,2017,0,23,2719,4232,93,63,52,20,9,92,4063,69,3947,2662
206011,Terra State Community College,2017,0,24,2243,3876,81,50,57,12,17,51,4095,26,5432,2937
206048,Tiffin University,2017,0,28,3149,23700,38,46,64,14,23,93,15232,45,4297,7872
206084,University of Toledo,2017,0,41,20515,8052,68,49,74,21,9,96,8050,37,4712,6200
206154,Tri-State Bible College,2017,0,100,39,8400,57,34,,4,0,,,,,
206288,United Theological Seminary,2017,0,,420,,,,,,,,,,,
206349,Ursuline College,2017,0,53,1123,30840,62,92,71,8,6,100,22761,51,4506,7773
206437,Walsh University,2017,0,61,2759,27650,68,59,74,13,0,100,20636,36,4372,8032
206446,Washington State Community College,2017,0,25,1821,4170,94,63,57,12,11,87,4561,63,4607,4713
206491,Wilberforce University,2017,0,26,627,12020,3,54,38,9,0,100,12308,93,5017,6118
206507,Wilmington College,2017,0,58,1169,24300,79,53,68,14,0,100,14179,39,3851,8007
206516,Winebrenner Theological Seminary,2017,0,,62,,,,,,,,,,,
206525,Wittenberg University,2017,0,67,1884,37930,76,54,72,13,0,100,26135,38,4757,8491
206589,The College of Wooster,2017,0,77,1980,48160,66,55,85,11,0,99,30851,17,4003,7681
206604,Wright State University-Main Campus,2017,0,36,15957,8730,74,52,65,14,0,90,6546,40,4478,6571
206613,Wright State University-Lake Campus,2017,0,42,1037,5842,92,55,75,14,3,89,4185,36,3873,5502
206622,Xavier University,2017,0,69,6786,37000,75,54,84,11,2,99,20690,16,4411,8309
206695,Youngstown State University,2017,0,34,12521,7847,74,52,77,17,4,98,7917,47,4604,5749
245892,Antioch University,2017,0,,138,18972,78,73,,4,0,,,,,
250902,Moler-Pickens Beauty Academy,2017,0,54,78,,19,94,53,15,0,100,5331,100,5302,6804
363147,Raphael's School of Beauty Culture Inc-Alliance,2017,0,60,161,,53,99,100,20,0,85,5033,80,5033,6517
363882,Raphael's School of Beauty Culture Inc-Brunswick,2017,0,54,57,,75,98,88,18,0,60,4788,44,4788,6058
375407,Madison Adult Career Center,2017,0,78,124,,75,74,79,9,0,85,4298,51,3805,3450
375416,Remington College-Cleveland Campus,2017,0,47,670,15170,11,76,51,17,0,93,4708,92,4323,6751
405012,Ohio State School of Cosmetology-Heath,2017,0,43,60,,98,98,79,15,0,74,3669,40,4304,3946
407568,Raphael's School of Beauty Culture Inc-Boardman,2017,0,64,116,,64,91,69,21,0,83,5699,78,4521,6557
411754,Cleveland Clinic Health System-School of Diagnostic Imaging,2017,0,,39,9360,72,69,,9,0,,,,,
434830,Creative Images Institute of Cosmetology-North Dayton,2017,0,66,185,,55,98,83,18,0,67,3239,44,4202,6784
439899,Rosedale Bible College,2017,0,50,48,8400,98,48,50,12,0,100,5408,52,4359,4435
441636,American Institute of Alternative Medicine,2017,0,59,395,11274,24,79,,17,0,100,4362,100,4362,9500
441645,Brown Aveda Institute-Mentor,2017,0,66,140,,71,96,63,10,0,97,4569,59,4463,5952
444051,Creative Images Institute of Cosmetology-South Dayton,2017,0,82,106,,80,96,81,19,0,53,3344,38,4080,6000
448600,Stautzenberger College-Brecksville,2017,0,14,385,12592,67,94,75,14,6,88,4925,75,4675,6531
450058,Fortis College-Columbus,2017,0,44,774,13914,44,84,61,21,0,99,5155,89,4961,10002
450067,Fortis College-Cincinnati,2017,0,48,340,14196,33,68,64,14,0,96,5835,83,5360,10098
450395,Brown Aveda Institute-Strongsville,2017,0,79,113,,65,96,80,12,0,100,4084,71,4407,7028
451477,MyComputerCareer at Columbus,2017,0,56,617,,46,14,86,15,66,84,4833,64,4788,14563
452081,Ross College-Sylvania,2017,0,69,439,,58,96,64,23,50,83,4295,74,4103,7066
452373,ATA College-Cincinnati,2017,0,50,277,12780,44,90,30,8,0,55,2751,52,2751,5393
452948,Galen College of Nursing-Cincinnati,2017,0,19,478,,77,89,44,13,0,94,3393,63,3223,7032
453792,Ohio Medical Career College,2017,0,87,87,,15,89,81,23,0,79,3659,61,3182,7722
454236,Chamberlain University-Ohio,2017,0,44,548,18900,69,87,56,8,2,100,4909,56,4058,8174
457916,Summit Salon Academy-Perrysburg,2017,0,88,57,,86,100,100,14,0,57,4921,57,4921,7610
461111,Allstate Hairstyling & Barber College,2017,0,67,46,,37,17,100,10,0,100,5508,100,5508,
461999,Elite School of Cosmetology,2017,0,71,62,,77,92,70,11,0,92,3618,92,3463,5760
476629,Salon Institute-Toledo Campus,2017,0,62,75,,95,92,89,7,0,79,4474,52,4474,8274
476683,Athena Career Academy,2017,0,66,219,,20,92,34,20,0,99,4513,95,3657,10693
482574,DeVry University-Ohio,2017,0,27,1096,14504,67,41,31,24,75,91,6130,73,3847,7168
483018,Antioch College,2017,0,56,133,34568,59,62,58,4,23,100,32134,59,5086,5512
483647,Ohio Institute of Allied Health,2017,0,79,48,21000,38,83,82,2,0,76,2219,65,1895,7207
483920,LaBarberia Institute of Hair,2017,0,85,125,,18,26,71,18,0,94,3276,81,3276,6040
486257,Valor Christian College,2017,0,42,267,4440,33,51,73,25,30,91,4866,60,4866,6304
487302,Fortis College-Cuyahoga Falls,2017,0,57,451,13683,53,73,50,18,0,94,4520,61,4561,7913
487861,Felbry College,2017,0,89,160,,0,90,88,10,0,100,2750,84,2750,5071
490692,Cincinnati School of Barbering & Hair Design,2017,0,88,22,,45,9,,13,0,0,,0,,
490832,Ross College-Canton,2017,0,,151,,64,84,63,6,0,91,3506,73,3429,8172
200590,ETI Technical College,2018,0,55,129,9772,69,71,88,5,0,100,13127,88,5720,8081
200785,Herzing University-Akron,2018,0,26,453,13130,43,86,29,13,48,100,6534,91,4736,8253
200800,University of Akron Main Campus,2018,0,39,18731,8618,74,47,72,18,4,95,7603,43,4471,6822
200846,University of Akron Wayne College,2018,0,6,1683,5940,87,58,60,20,5,90,5103,43,3889,4669
200873,Allegheny Wesleyan College,2018,0,64,72,6800,100,63,67,9,0,100,4983,65,4429,3500
201061,Art Academy of Cincinnati,2018,0,63,201,31560,72,71,47,10,0,100,11567,47,4274,5385
201104,Ashland University,2018,0,61,6627,20322,69,47,78,16,26,97,12511,35,4534,8135
201177,Aultman College of Nursing and Health Sciences,2018,0,100,343,17510,90,90,78,6,1,93,6788,30,4639,7124
201195,Baldwin Wallace University,2018,0,64,3709,32586,78,54,82,11,0,100,21257,34,4694,7654
201283,Belmont College,2018,0,32,982,2802,91,64,49,12,4,92,3469,48,3952,2631
201371,Bluffton University,2018,0,54,770,32316,76,45,66,11,2,100,19394,43,4338,7541
201432,Bowling Green State University-Firelands,2018,0,11,1997,4706,78,65,56,21,10,81,4263,48,4354,6136
201441,Bowling Green State University-Main Campus,2018,0,56,17540,9096,78,55,77,17,5,95,7066,32,4367,7493
201469,Bryant & Stratton College-Parma,2018,0,28,309,17200,58,89,,11,5,96,7040,81,3793,7589
201548,Capital University,2018,0,58,3213,35146,74,63,78,11,0,100,24855,32,4622,7484
201645,Case Western Reserve University,2018,0,85,11890,48604,47,45,95,11,0,86,33016,15,4485,6063
201654,Cedarville University,2018,0,72,4150,30070,87,53,87,15,10,100,15553,24,4080,7577
201672,Central Ohio Technical College,2018,0,17,3442,4536,69,67,49,15,10,85,4307,59,4153,4486
201690,Central State University,2018,0,23,2099,3926,1,60,54,15,0,99,6876,98,4608,12000
201821,The Christ College of Nursing and Health Sciences,2018,0,45,902,13995,80,91,76,14,32,96,7187,40,4488,7893
201867,Cincinnati College of Mortuary Science,2018,0,,78,17775,91,68,,15,0,,,,,
201885,University of Cincinnati-Main Campus,2018,0,68,37886,9322,74,49,86,16,9,83,7376,21,4489,7293
201928,Cincinnati State Technical and Community College,2018,0,17,8205,3800,58,56,50,13,16,77,5357,53,4909,3299
201946,University of Cincinnati-Clermont College,2018,0,27,3017,4580,86,57,,13,17,86,4138,44,4600,5016
201955,University of Cincinnati-Blue Ash College,2018,0,27,4870,5274,62,59,,17,5,80,4408,48,4141,5191
201964,Ohio Christian University,2018,0,25,3660,11000,52,65,70,11,52,88,8560,63,4062,7006
201973,Clark State College,2018,0,22,5704,3152,75,66,47,14,18,90,3889,61,4532,4174
202046,Cleveland Institute of Art,2018,0,64,670,39300,67,67,86,9,0,100,22924,51,4780,10355
202073,Cleveland Institute of Music,2018,0,75,402,43600,27,51,90,5,0,100,30011,10,4220,9491
202134,Cleveland State University,2018,0,45,16069,10387,63,54,72,16,5,90,8432,46,6462,6197
